ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
35	9,4	4,0	5,5,1	0,0,0	178	149
36	16,14	4,0	9,6,2	0,0,0	298	149
37	14,17	5,2	11,6,4	2,3,1	298	149
41	9,7	4,0	6,4,2	0,0,0	252	149
42	16,13	4,0	9,6,2	0,0,0	291	149
43	26,18	4,0	9,7,4	0,0,0	293	149
44	5,5	5,2	3,2,2	2,3,1	223	149
45	12,11	5,2	6,4,2	2,3,1	262	149
46	22,16	5,2	6,5,4	2,3,1	264	149
52	5,5	4,0	4,2,0	0,0,0	201	149
53	17,14	4,0	9,6,2	0,0,0	298	149
54	1,3	5,2	1,0,0	2,3,1	172	149
55	15,17	5,2	11,6,4	2,3,1	298	149
58	7,18	10,4	7,8,4	0,1,2	298	149
63	2,2	16,13	1,2,1	34,23,22	176	149
64	28,25	0,0	24,17,25	0,2,0	298	149
67	37,29	0,0	60,53,18	2,0,0	160	149
71	10,5	0,0	9,9,4	2,0,0	161	149
81	0,0	2,1	1,0,1	2,2,2	187	149
82	4,1	2,1	18,9,17	2,2,2	160	149
85	0,0	2,1	1,0,1	2,2,2	205	149
86	0,0	2,1	1,0,1	2,2,2	183	149
87	0,0	8,7	0,2,0	21,22,20	167	149
90	0,1	1,6	0,0,0	1,0,2	152	149
96	3,2	1,2	9,4,1	4,0,1	298	149
97	3,2	1,2	9,4,1	4,0,1	298	149
100	3,2	1,2	9,4,1	4,0,1	206	149
102	3,1	1,2	6,3,1	4,0,1	177	149
103	3,1	1,2	5,3,1	4,0,1	166	149
117	0,4	1,0	4,0,2	1,2,0	160	149
155	14,3	7,1	15,6,10	3,7,6	152	149
156	3,2	19,15	16,13,7	38,35,28	170	149
157	2,0	94,83	8,7,7	114,103,78	204	149
158	5,11	94,83	30,23,11	114,103,78	298	149
159	7,14	2,0	36,26,10	8,7,4	298	149
160	2,2	56,29	3,7,3	53,49,24	169	149
161	0,0	341,222	3,0,4	455,329,272	196	149
162	1328,1066	0,0	2455,2063,1638	0,0,1	298	149
163	6,3	996,553	7,6,7	1578,1369,1342	166	149
164	807,519	0,0	1504,1135,942	2,3,0	151	149
165	20,18	939,718	61,37,32	1124,933,660	298	149
167	66,57	34,19	88,86,77	40,41,31	209	149
168	4,13	0,0	7,11,11	4,0,0	152	149
169	150,92	94,43	95,68,56	50,34,35	152	149
174	232,147	4,0	296,267,180	5,3,1	298	149
175	12,5	6,2	22,18,16	0,4,2	191	149
182	0,1	40,23	0,0,0	17,12,12	169	149
186	115,75	40,57	191,159,109	47,71,31	298	149
187	115,90	24,23	207,181,105	42,29,19	155	149
188	29,29	2,7	63,41,27	6,2,2	230	149
189	55,44	216,115	105,73,51	237,218,174	230	149
190	111,58	0,0	150,108,86	2,0,1	156	149
191	51,46	4,2	69,80,32	3,2,2	253	149
197	17,7	2,0	25,14,17	4,3,0	195	149
198	145,112	123,60	130,96,75	97,72,56	169	149
199	423,321	123,60	364,280,233	97,72,56	200	149
200	286,215	8,6	248,190,165	14,6,7	180	149
201	200,150	788,611	159,145,110	888,686,497	169	149
202	946,743	788,611	854,686,510	888,686,497	200	149
203	809,637	63,44	738,596,442	43,55,42	180	149
204	13,10	682,530	41,34,22	718,586,433	298	149
205	15,10	27,10	41,35,22	35,18,5	298	149
213	2,4	0,3	4,5,5	4,3,4	152	149
214	0,0	2,0	3,0,2	0,0,0	193	149
216	11,8	2,0	11,3,3	2,0,0	152	149
217	0,5	17,8	5,4,2	19,15,8	185	149
218	5,8	2,2	17,14,2	0,4,0	154	149
221	25,15	3,2	7,3,3	4,2,1	152	149
245	1,3	108,88	5,0,0	60,58,67	170	149
246	3,3	0,0	5,3,4	4,2,1	153	149
247	66,51	1,0	70,65,53	0,0,0	155	149
250	2,0	2,0	2,2,0	0,4,1	153	149
252	0,3	0,0	2,1,2	3,1,0	152	149
253	59,56	2,0	99,72,44	0,0,0	298	149
254	153,115	0,1	237,159,104	2,1,2	298	149
256	99,60	0,1	139,91,64	2,1,2	298	149
260	172,152	0,2	261,163,149	0,3,0	298	149
261	155,127	1,1	246,152,110	2,5,5	298	149
263	10,10	2,1	12,17,4	2,9,1	193	149
264	10,9	2,0	16,11,15	0,1,0	188	149
265	1,7	2,0	3,4,8	0,1,0	235	149
266	0,0	9,2	1,0,0	14,7,7	196	149
271	9,6	67,65	7,5,4	52,51,43	298	149
272	4,3	4,4	8,2,4	1,1,0	257	149
273	78,41	0,2	63,48,45	1,1,3	152	149
274	5,2	0,2	0,1,0	1,1,3	156	149
275	3,2	76,41	0,0,0	63,47,45	153	149
276	56,48	1,0	59,57,43	0,0,4	155	149
282	446,340	37,20	719,607,364	45,35,27	179	149
283	420,292	4,0	597,545,408	2,0,1	298	149
292	48,41	21,31	62,69,45	49,32,22	225	149
293	111,82	21,31	133,118,89	49,32,22	298	149
294	177,149	21,31	215,176,143	49,32,22	298	149
295	131,93	0,1	185,128,94	1,3,1	298	149
296	197,160	0,1	267,186,148	1,3,1	298	149
297	206,174	2,1	240,209,154	0,0,1	298	149
298	103,104	2,0	154,124,111	2,0,0	298	149
301	2,4	0,0	0,4,3	1,0,1	154	149
308	287,166	136,65	288,234,159	89,69,55	152	149
310	326,247	87,58	513,431,256	172,105,73	152	149
315	96,54	0,1	118,133,97	1,0,4	199	149
316	4,3	2,5	15,11,15	7,0,1	194	149
317	3,0	18,3	11,3,9	12,12,20	164	149
318	223,169	23,8	317,245,208	20,8,10	167	149
319	53,23	23,8	91,71,70	20,8,10	298	149
320	29,11	195,156	58,48,54	281,221,187	298	149
323	229,148	0,0	343,244,221	1,0,1	155	149
330	3,2	257,208	6,3,6	387,336,282	198	149
331	333,220	0,0	412,334,250	0,1,0	151	149
332	8,11	0,0	10,10,9	0,1,0	181	149
333	1,5	326,214	6,7,5	408,331,246	179	149
335	8,4	154,79	11,11,8	239,203,181	278	149
336	157,84	0,0	242,207,185	0,0,1	157	149
338	1,2	284,160	5,1,2	324,274,205	176	149
340	3,2	0,0	9,4,1	0,0,2	169	149
341	0,0	6,3	1,0,0	9,7,3	153	149
342	155,135	18,17	128,112,60	15,16,8	196	149
343	53,48	18,17	55,45,28	15,16,8	298	149
344	14,8	112,93	21,13,13	87,75,41	298	149
346	6,4	0,0	11,19,11	1,1,2	183	149
347	18,10	0,1	62,56,68	3,0,5	161	149
348	339,228	164,85	412,332,255	143,126,97	155	149
349	361,233	0,0	436,366,268	0,1,0	166	149
350	186,90	0,0	167,160,110	0,1,0	160	149
352	2519,1943	2,8	3600,3058,2093	5,4,3	279	149
353	0,2	2,2	0,1,2	1,4,0	156	149
359	10,3	1886,1372	9,13,4	2224,1763,1275	298	149
360	33,22	48,31	27,36,18	46,50,43	298	149
361	1909,1391	48,31	2242,1786,1289	46,50,43	152	149
362	1635,1141	1,0	1942,1535,1085	0,0,0	298	149
363	1648,1104	1,0	1940,1589,1054	0,0,0	154	149
366	1045,767	6,2	1331,1051,794	4,1,5	298	149
367	0,0	1223,870	0,0,1	1501,1312,828	160	149
368	791,430	309,180	983,752,599	359,305,250	152	149
369	782,438	3,3	974,748,584	0,0,2	298	149
370	1998,1481	0,0	2823,2199,1626	1,2,0	298	149
371	34,27	1,0	43,31,21	2,1,3	164	149
372	129,107	152,120	127,105,66	162,119,62	164	149
374	4,5	45,24	16,15,6	22,41,30	298	149
377	34,30	0,4	46,43,33	0,0,2	298	149
382	3,0	0,0	1,1,0	2,2,1	178	149
383	21,13	25,24	13,15,10	22,15,18	152	149
384	3237,2466	62,59	4151,3602,2409	78,77,48	176	149
385	108,68	2,13	208,196,95	9,14,9	160	149
386	7,6	0,1	41,27,27	5,4,0	160	149
387	135,130	12,6	329,289,184	8,16,13	263	149
388	70,42	0,0	77,69,70	0,2,0	179	149
389	93,55	1,1	92,88,78	5,5,5	236	149
391	207,168	0,0	320,212,117	1,3,0	298	149
392	298,218	0,0	306,286,195	0,1,0	298	149
393	35,16	67,64	52,43,30	90,77,39	298	149
394	41,24	112,64	76,73,59	76,78,50	298	149
395	231,148	0,1	233,249,135	1,2,3	298	149
396	152,104	0,5	167,199,134	1,3,0	298	149
397	0,2	0,0	0,0,6	2,0,0	152	149
398	11,13	2,2	18,20,20	5,4,2	298	149
399	11,13	4,1	17,20,20	2,1,3	298	149
400	2,2	4,1	5,4,2	2,1,3	152	149
402	40,28	0,0	78,48,50	1,0,0	298	149
403	64,38	0,0	96,58,72	1,0,0	298	149
404	83,54	13,9	106,80,76	10,13,8	298	149
407	277,193	1,0	356,262,194	1,0,2	152	149
410	35,19	174,142	103,76,61	284,261,215	298	149
411	39,22	0,0	106,83,67	1,0,0	298	149
412	179,146	0,0	288,271,221	1,0,0	151	149
420	38,18	9,5	45,36,30	4,7,6	152	149
421	5,2	0,2	4,5,4	1,0,2	153	149
424	27,21	3,0	32,29,14	8,2,4	291	149
425	27,21	2,0	32,29,14	0,0,1	294	149
426	3,0	2,0	8,2,4	0,0,1	152	149
427	2,3	5,4	6,2,0	10,5,3	152	149
434	5,0	5,4	3,0,1	18,24,21	152	149
435	8,7	252,187	11,18,4	265,258,195	152	149
436	16,6	178,98	25,19,20	243,212,194	152	149
437	4,0	95,54	5,1,2	129,129,102	170	149
440	37,15	0,2	51,62,30	4,4,3	180	149
441	2,0	2,0	3,6,7	0,1,1	180	149
442	2,0	51,36	6,7,2	63,94,52	179	149
443	5,8	47,50	17,12,14	91,134,90	211	149
444	6,3	27,46	3,2,3	97,123,84	165	149
448	151,127	58,40	283,253,117	69,46,42	204	149
449	154,128	28,13	283,256,120	35,22,14	208	149
450	61,41	28,13	69,49,45	35,22,14	153	149
451	5,4	0,0	0,0,0	1,0,0	152	149
454	303,201	2,0	281,286,180	4,3,4	205	149
455	4,2	2,2	13,8,11	1,0,0	298	149
456	4,1	0,0	12,9,11	2,0,0	298	149
457	0,2	89,86	2,0,3	129,122,68	200	149
458	2,2	12,8	4,0,3	19,12,16	205	149
459	91,86	12,8	131,122,68	19,12,16	154	149
464	3,4	378,278	13,13,7	536,469,343	298	149
467	28,20	25,9	39,29,25	43,22,19	182	149
469	0,0	2,0	3,2,0	2,1,3	192	149
471	140,103	3,0	221,155,110	27,27,25	298	149
472	27,25	308,263	45,49,23	472,412,263	298	149
473	1398,1008	0,0	1558,1319,867	0,0,1	219	149
474	5,17	2,0	18,17,21	0,1,0	298	149
475	9,17	901,671	20,18,22	1069,873,557	298	149
479	652,527	0,0	1004,712,597	0,0,1	298	149
480	9,2	224,161	8,10,7	368,271,195	191	149
483	278,189	8,11	448,428,357	16,8,13	239	149
484	2,1	1,0	10,11,7	2,0,0	298	149
485	453,362	0,0	592,424,377	4,0,0	298	149
486	30,21	595,446	57,31,30	644,578,423	298	149
487	578,408	3,2	668,557,392	1,6,0	263	149
488	2,3	35,12	5,5,4	43,52,54	212	149
489	22,13	1,1	26,39,29	1,1,0	266	149
490	22,13	0,0	26,39,29	1,0,0	266	149
491	41,30	282,203	56,54,41	314,331,227	266	149
493	37,16	493,286	35,27,27	536,475,334	214	149
494	22,8	3,1	17,17,14	3,5,2	214	149
496	10,14	27,8	25,14,13	43,26,30	298	149
497	0,0	14,5	4,1,1	25,13,11	173	149
498	0,1	0,1	2,0,0	0,0,0	153	149
499	100,80	2,0	121,82,66	0,0,1	154	149
500	38,26	0,0	102,52,47	0,1,0	153	149
501	0,0	30,19	0,2,0	55,30,29	215	149
502	430,324	1,3	441,339,317	0,3,0	298	149
505	209,139	2,0	365,261,251	2,1,3	154	149
510	0,3	22,13	1,1,0	17,14,15	178	149
511	0,3	159,153	12,2,1	263,173,136	178	149
512	266,171	1,2	308,233,210	1,4,1	172	149
513	0,3	42,29	6,2,6	114,74,81	298	149
516	2,1	32,19	5,2,2	48,22,22	168	149
518	48,27	11,6	75,41,24	19,13,8	176	149
519	72,49	0,1	131,82,48	1,0,1	271	149
520	35,28	0,1	75,54,32	1,0,1	244	149
521	1,6	59,52	0,0,3	83,70,62	232	149
522	29,35	0,5	47,40,33	1,1,0	154	149
523	1,5	23,32	4,2,3	42,38,20	219	149
524	445,294	4,0	485,409,399	4,1,2	263	149
525	2,0	4,0	9,7,7	4,7,1	298	149
526	43,44	121,74	116,90,81	102,93,70	214	149
527	105,98	0,1	312,229,228	0,0,0	298	149
528	5,4	159,109	18,25,23	397,334,229	231	149
529	386,258	7,1	458,397,270	11,7,0	218	149
530	227,194	16,14	441,294,252	24,16,9	152	149
531	276,163	12,4	350,327,316	12,7,10	164	149
532	2,0	27,9	14,8,4	22,33,34	198	149
533	34,27	10,9	99,52,48	32,13,20	267	149
534	59,36	10,9	107,77,78	32,13,20	218	149
536	230,171	4,8	272,226,156	3,1,0	182	149
538	9,2	3,0	8,3,0	0,0,1	298	149
555	1,1	130,95	2,2,3	196,181,126	210	149
557	1,0	3,9	1,1,0	6,3,4	260	149
560	48,41	372,276	44,44,32	444,499,325	152	149
568	18,18	1,0	34,29,21	0,0,1	242	149
569	20,25	0,1	57,43,26	2,5,1	242	149
570	13,18	0,1	35,28,18	2,5,1	245	149
571	13,20	0,1	37,29,19	2,5,1	266	149
572	0,0	7,7	1,1,0	23,16,8	152	149
573	0,2	7,7	3,2,1	23,16,8	173	149
577	16,21	0,1	49,36,21	0,0,2	242	149
578	13,18	0,1	35,28,21	0,0,2	245	149
579	0,0	3,3	1,1,3	15,9,3	152	149
580	11,5	10,0	20,8,6	4,2,1	267	149
585	79,70	0,0	162,171,112	0,0,1	298	149
586	7,7	1,4	20,12,10	13,3,1	163	149
587	4,0	2,0	3,7,4	0,0,0	157	149
588	98,72	2,0	180,157,125	0,0,0	205	149
589	96,72	2,0	177,152,121	0,2,0	197	149
593	1,0	154,83	2,3,0	230,157,149	298	149
595	94,53	0,0	148,82,103	0,0,2	298	149
596	9,7	90,58	5,19,4	168,131,104	276	149
597	15,9	1,0	69,78,44	0,0,0	192	149
611	7,2	0,0	23,19,13	0,0,1	155	149
612	27,7	2,0	24,23,13	0,0,2	298	149
613	66,21	1,2	78,66,42	4,5,5	181	149
614	5,3	62,62	16,9,1	96,83,74	203	149
615	92,52	2,0	130,146,101	0,0,0	153	149
616	57,28	0,0	123,127,113	2,0,0	298	149
617	4,6	69,42	10,16,8	88,66,53	226	149
618	3,2	22,13	6,1,3	12,20,13	298	149
619	1,1	40,31	6,1,5	82,74,82	298	149
620	22,14	40,31	15,21,18	82,74,82	298	149
621	1,1	0,0	3,2,5	1,2,0	298	149
622	66,37	1534,1007	104,90,46	2415,2041,1626	207	149
624	148,105	1,1	307,257,179	3,0,5	242	149
625	28,3	0,0	23,42,40	3,0,5	160	149
626	25,36	14,20	74,77,31	37,48,31	298	149
627	12,13	0,0	31,28,25	0,0,1	183	149
628	0,0	9,5	0,1,0	9,4,3	298	149
630	1,0	0,0	3,8,3	1,0,0	298	149
631	1,0	163,123	3,0,2	221,212,138	298	149
642	24,18	0,0	42,42,38	2,1,0	298	149
643	0,2	8,8	13,17,26	24,13,9	298	149
644	42,29	31,20	99,78,60	62,27,26	229	149
645	2,0	0,0	3,5,0	2,0,0	169	149
648	0,1	0,0	0,0,0	3,2,1	152	149
654	11,10	3,3	14,20,25	2,5,5	203	149
662	0,0	1,3	1,0,0	0,0,2	298	149
663	6,4	0,0	5,11,6	0,2,0	286	149
665	0,0	1,4	2,0,1	3,1,5	168	149
671	144,126	19,13	243,194,152	20,12,18	298	149
672	7,1	0,0	9,3,2	1,0,0	154	149
673	96,38	15,12	70,59,43	26,14,12	154	149
674	2211,1696	3,0	2622,2172,1422	1,0,1	298	149
680	3,3	189,150	6,1,15	233,217,140	298	149
682	8,2	2,0	2,8,3	0,4,1	198	149
683	8,2	3,1	2,8,5	3,8,3	198	149
684	14,8	26,9	7,22,11	34,47,26	198	149
688	14,5	1503,1170	22,14,11	1417,1205,952	166	149
689	128,69	171,135	150,94,45	257,214,147	202	149
690	181,102	87,58	131,99,79	81,66,43	152	149
691	152,87	1,0	37,22,11	0,0,0	298	149
709	4,3	1,0	10,4,8	0,0,0	179	149
710	2,1	0,0	5,1,3	0,0,2	298	149
716	24,16	0,0	37,23,15	0,1,0	298	149
738	13,3	8,3	37,31,18	14,20,13	209	149
739	15,4	150,82	45,33,22	212,172,184	209	149
740	6,2	27,23	6,2,8	87,66,53	298	149
741	9,4	100,58	27,19,11	137,113,90	255	149
742	0,0	0,2	0,1,1	6,2,1	227	149
743	2,1	136,63	2,2,1	196,136,82	298	149
744	2,3	136,63	8,3,1	196,136,82	221	149
745	89,34	0,2	93,128,97	2,0,2	206	149
746	2,0	9,11	13,2,1	21,19,28	202	149
747	2,0	0,0	14,2,1	1,2,0	206	149
748	9,11	0,0	22,19,28	1,2,0	153	149
749	4,0	3,0	5,12,4	0,4,2	289	149
751	410,365	4,6	678,576,413	11,4,5	155	149
756	15,5	1824,1373	26,18,8	2019,1666,1135	188	149
764	5,0	2,0	1,5,0	0,0,0	169	149
765	165,125	1,1	226,212,174	1,1,0	184	149
766	822,635	0,0	1182,1096,707	0,1,1	156	149
777	3,0	616,405	15,6,8	735,630,463	273	149
778	316,282	2,1	487,364,244	2,1,0	204	149
784	2,0	4,6	33,26,32	55,43,36	232	149
791	161,124	0,1	280,278,141	0,0,0	154	149
793	18,7	548,397	24,20,10	718,622,416	188	149
794	21,21	1100,869	35,30,13	1702,1477,1027	298	149
795	1034,810	2,0	1497,1224,852	0,2,0	298	149
796	1716,1244	3,0	2286,1899,1358	1,0,1	155	149
797	262,184	1398,1124	390,221,161	1741,1306,1009	167	149
804	932,702	387,269	1295,1031,649	464,344,227	224	149
805	379,268	5,1	494,388,241	4,4,2	224	149
808	160,111	3,2	185,140,125	3,0,1	155	149
809	136,103	26,26	161,121,95	39,29,21	178	149
811	20,10	166,153	27,18,38	203,174,121	200	149
812	2,1	2,5	6,9,11	6,1,3	154	149
815	1,0	40,24	1,4,1	69,51,50	221	149
816	5,8	32,28	45,38,12	198,128,100	207	149
817	5,4	0,1	8,6,4	0,0,0	164	149
818	1,1	0,0	4,5,4	1,1,0	164	149
819	0,1	0,0	6,5,2	6,0,0	164	149
820	5,4	15,6	14,12,7	78,56,58	165	149
821	26,15	0,0	71,61,47	6,4,6	206	149
822	36,17	0,0	135,105,98	6,4,6	190	149
823	5,5	22,23	13,12,7	55,29,27	165	149
824	26,16	0,0	70,61,47	2,0,0	206	149
825	43,34	0,0	112,78,67	2,0,0	190	149
826	1,0	44,37	2,2,0	54,55,24	162	149
827	6,1	44,37	8,3,4	54,55,24	247	149
829	50,43	4,3	47,51,37	3,1,3	297	149
832	1,0	46,42	0,1,0	41,45,35	218	149
845	76,40	2,0	82,77,43	0,0,0	151	149
859	2,5	117,58	1,2,4	104,87,73	186	149
863	2,11	2,2	9,9,10	5,6,2	184	149
864	595,512	503,355	826,706,450	579,492,382	167	149
865	115,123	503,355	167,145,90	579,492,382	202	149
866	2,11	482,400	9,9,9	668,570,369	184	149
867	115,113	6,5	158,137,81	14,4,7	167	149
868	1191,891	23,21	1592,1308,927	54,48,15	152	149
869	2,1	1189,929	2,2,2	1869,1413,988	173	149
870	8,12	14,4	25,14,12	19,15,18	298	149
873	14,7	687,438	26,13,20	649,538,410	172	149
874	651,474	1,4	640,517,407	4,0,2	298	149
875	2,0	654,521	3,4,0	556,469,348	163	149
876	315,162	30,23	302,274,175	11,21,19	181	149
877	185,103	2,2	184,168,106	1,1,1	181	149
878	1,2	590,462	1,1,1	611,543,411	185	149
879	1,0	5,3	0,1,1	8,7,2	227	149
880	7,4	520,333	9,8,4	547,488,341	245	149
881	11,7	520,333	17,14,5	547,488,341	167	149
883	4,1	9,10	4,2,3	30,29,14	236	149
884	2470,1925	381,238	3073,2524,1791	308,275,181	173	149
885	399,320	1,0	432,345,267	0,0,0	173	149
886	929,685	0,0	692,521,461	1,0,0	298	149
888	13,12	2,0	19,23,14	3,0,1	243	149
889	15,13	227,177	19,24,14	234,178,155	243	149
890	13,12	6,5	18,24,14	8,16,3	243	149
892	3,4	141,83	8,11,5	162,126,90	298	149
893	0,0	0,1	0,0,2	3,2,1	166	149
894	5,4	0,0	18,8,8	0,0,1	233	149
895	203,136	1,0	188,175,126	2,0,1	193	149
896	199,135	5,4	190,174,125	4,7,0	193	149
900	47,32	19,27	33,33,30	17,25,7	167	149
901	58,56	62,25	53,53,38	56,27,23	167	149
902	273,202	22,24	351,266,192	43,35,17	298	149
903	198,144	1,1	284,213,159	0,6,1	298	149
904	168,140	1,1	251,205,149	0,6,1	298	149
990	0,0	493,393	0,3,0	576,429,349	157	149
993	1,0	7,2	1,0,0	13,9,5	167	149
994	2,0	0,0	0,2,0	2,7,3	164	149
995	1,0	0,0	3,3,3	2,7,3	206	149
996	1,0	2,0	3,3,3	0,2,0	191	149
997	0,2	0,2	3,3,2	0,0,0	152	149
998	105,76	38,40	86,74,80	57,51,29	152	149
999	2,6	195,177	5,2,3	225,215,130	165	149
1012	203,137	1300,830	201,152,135	1296,1100,765	170	149
1013	48,24	2,4	45,38,30	0,4,2	170	149
1014	1582,1147	3,13	1611,1306,877	14,17,7	214	149
1024	210,133	4,3	285,222,137	7,4,3	197	149
1031	3,8	0,0	4,4,4	1,3,0	156	149
1032	321,209	1,1	421,388,283	1,1,1	298	149
1033	145,111	17,5	184,211,127	15,20,9	298	149
1037	3,1	1,0	2,0,0	0,0,0	158	149
1038	27,16	48,36	27,16,14	54,36,39	298	149
1039	56,37	0,1	100,103,104	0,0,0	161	149
1040	9,1	214,77	11,14,6	218,177,205	171	149
1041	38,16	2,1	67,65,33	0,0,5	206	149
1042	243,92	2,1	274,228,232	0,0,5	184	149
1043	2834,1990	1,0	3747,2914,2330	0,0,0	159	149
1044	1244,545	0,0	1720,1698,1711	0,0,4	271	149
1045	1363,621	6,3	1933,1896,1864	0,4,6	173	149
1046	92,63	6,2	134,91,83	3,1,2	298	149
1047	156,111	64,53	168,139,115	95,95,70	184	149
1048	4,0	52,33	1,1,4	74,62,37	164	149
1049	10,7	0,0	12,18,6	1,0,0	191	149
1050	17,9	0,0	19,17,6	1,0,0	194	149
1051	7,2	0,0	9,1,0	2,2,0	152	149
1052	11,8	1,4	10,17,3	8,15,5	152	149
1056	2,0	7,1	5,2,1	2,2,1	152	149
1058	4,2	2,4	11,18,7	2,6,4	152	149
1061	3,0	5,1	2,5,2	2,3,5	152	149
1062	15,10	11,8	37,32,38	40,35,22	152	149
1063	27,10	2,2	44,31,20	9,3,0	181	149
1075	120,97	3808,2666	189,158,144	5285,4774,3907	298	149
1077	5,7	41,29	13,11,13	36,36,30	152	149
1078	6,4	85,76	20,15,11	155,113,81	202	149
1079	6,4	425,264	23,15,11	527,413,310	205	149
1080	85,76	425,264	158,113,81	527,413,310	152	149
1081	255,198	0,0	453,283,276	0,2,0	153	149
1082	12,13	391,287	38,26,23	491,355,264	298	149
1083	7,10	85,54	8,9,9	94,77,78	172	149
1084	5,2	81,30	5,3,9	158,115,127	177	149
1086	248,189	5,2	390,308,247	7,3,2	186	149
1087	28,28	66,49	58,57,49	116,123,88	213	149
1090	5,9	1,0	6,7,0	0,0,0	298	149
1091	17,10	19,7	34,33,11	26,40,13	215	149
1092	46,27	3,0	46,32,23	1,5,1	168	149
1094	60,46	2,0	38,49,31	0,0,0	173	149
1095	5,4	67,45	6,6,3	70,69,37	163	149
1103	359,274	4,3	143,116,86	1,1,0	182	149
1104	63,51	2,1	42,36,33	1,0,0	298	149
1105	15,8	41,31	20,22,15	6,13,22	220	149
1106	7,4	36,30	5,2,0	11,20,15	181	149
1107	4,4	0,2	3,2,0	0,0,2	181	149
1110	111,63	0,0	81,81,49	0,0,2	246	149
1111	33,12	37,24	24,24,24	15,19,13	197	149
1113	2,1	3,2	2,1,0	3,2,3	152	149
1114	3,4	128,114	6,14,15	256,189,224	227	149
1117	467,432	0,2	900,812,613	4,9,9	298	149
1118	13,12	16,15	41,65,40	44,36,23	232	149
1119	26,15	37,41	63,95,69	67,71,59	232	149
1122	216,152	18,3	226,204,189	24,16,17	152	149
1123	35,24	0,0	59,63,68	0,0,1	228	149
1124	1,1	340,242	4,8,5	355,322,232	298	149
1125	2,1	340,242	6,8,9	355,322,232	298	149
1126	710,527	0,0	727,636,447	1,0,0	298	149
1127	711,526	6,3	728,631,444	7,0,0	154	149
1128	1030,718	7,17	1136,1013,882	10,17,9	248	149
1129	319,269	7,17	363,331,306	10,17,9	298	149
1130	28,16	730,462	33,41,37	794,708,605	249	149
1131	12,12	0,5	30,28,18	12,5,5	152	149
1132	1054,695	0,5	1137,1024,850	12,5,5	199	149
1133	1045,687	3,4	1121,1006,842	14,10,10	196	149
1134	1046,815	15,8	1084,880,712	7,13,5	154	149
1139	30,26	0,0	37,28,32	0,0,2	170	149
1140	1,0	22,13	4,10,2	57,45,51	219	149
1144	0,0	0,1	1,0,1	0,0,0	179	149
1150	2,2	18,22	0,1,1	16,8,17	287	149
1151	8,6	3,4	12,11,4	3,3,0	200	149
1152	18,12	0,0	59,43,54	2,0,0	298	149
1157	699,574	16,9	780,705,475	13,12,12	298	149
1161	1,1	3,0	5,8,4	5,0,4	153	149
1162	28,7	0,1	70,84,55	0,0,0	298	149
1163	359,246	2,0	475,313,293	5,3,1	180	149
1164	184,143	2,3	318,292,235	2,2,1	298	149
1165	8,10	22,26	8,5,13	34,36,16	185	149
1166	53,34	4,6	67,76,48	8,10,3	298	149
1167	69,57	4,6	95,111,58	8,10,3	298	149
1173	6,3	0,3	3,2,0	0,0,3	224	149
1174	4,4	178,138	10,7,10	229,171,138	152	149
1178	13,7	0,2	16,7,7	6,4,1	154	149
1179	3,4	0,0	2,3,2	0,1,0	154	149
1180	93,72	133,130	113,113,85	251,148,100	251	149
1182	0,1	2,0	2,1,0	0,1,1	152	149
1183	55,24	0,1	54,48,27	1,0,0	190	149
1184	55,30	0,1	63,57,36	9,7,0	190	149
1188	0,3	0,1	2,1,0	0,0,0	152	149
1189	32,43	8,9	66,50,18	8,13,1	152	149
1190	263,220	0,0	445,352,304	0,0,2	298	149
1191	1,0	0,4	2,0,0	1,0,0	218	149
1192	50,18	1,0	75,68,87	4,2,0	251	149
1193	1,1	52,26	2,1,4	100,76,96	164	149
1197	4,2	152,115	3,3,0	178,112,86	166	149
1199	6,2	0,2	4,6,0	0,0,2	188	149
1201	4,0	0,2	3,3,1	0,0,0	188	149
1203	1,0	0,0	0,0,0	4,0,0	188	149
1207	1,0	6,12	0,0,0	6,4,9	179	149
1208	19,12	1265,970	42,26,16	1774,1525,1064	170	149
1213	1006,753	1,0	1364,1076,748	0,1,0	197	149
1214	380,281	1,0	447,334,270	0,1,0	222	149
1215	2,4	628,476	3,7,6	920,749,484	174	149
1221	21,12	2,3	84,42,38	15,6,3	152	149
1236	13,8	521,340	19,11,8	392,265,248	224	149
1238	1,3	9,1	2,0,1	3,1,6	298	149
1239	3,3	0,0	2,0,1	0,1,2	298	149
1240	3,3	0,0	2,1,1	10,0,0	298	149
1241	0,2	9,1	1,0,0	3,1,6	297	149
1242	2,2	0,0	1,0,0	0,1,2	298	149
1243	2,2	0,0	1,1,0	10,0,0	298	149
1244	11,1	0,0	3,1,6	0,1,2	160	149
1245	11,1	0,0	3,2,6	10,0,0	172	149
1247	226,129	858,700	428,252,160	1900,1327,1053	179	149
1248	570,463	0,0	1177,742,530	2,0,2	298	149
1249	1229,1049	0,0	2705,1843,1447	2,0,2	298	149
1254	4,6	24,19	22,9,4	54,35,17	152	149
1255	1373,1116	5,3	1750,1466,1097	6,3,2	242	149
1256	7304,5310	0,0	10586,9033,7057	1,0,0	298	149
1257	2259,1288	3,5	3187,3170,2993	10,15,8	152	149
1262	247,187	1,1	309,204,178	1,1,2	277	149
1263	130,95	79,59	136,140,69	94,71,57	152	149
